channel,mean,std,p1,p99,med_ptp,zero_std_ratio
0,-0.07983572036027908,29.776643753051758,-75.80506103515624,95.54469642639135,107.33892822265625,0.0
1,0.06539317965507507,22.24052619934082,-60.291797409057615,78.00855278015136,88.61177062988281,0.0
2,-0.036878250539302826,33.87898254394531,-102.7045378112793,116.10885818481424,119.35877990722656,0.0
3,0.0028064611833542585,20.22977066040039,-54.33358379364014,67.55795318603515,91.268310546875,0.0
4,0.03944249451160431,18.10687828063965,-44.2592862701416,65.4854152679441,79.46363830566406,0.0
5,0.03619901463389397,21.074127197265625,-50.22432037353516,65.10865501403798,79.83108520507812,0.0
6,0.16514183580875397,29.27401351928711,-93.13066574096679,96.22544433593742,102.12643432617188,0.0
7,-0.16965581476688385,25.769397735595703,-77.37374366760254,85.89122947692867,90.93582153320312,0.0
8,0.046662021428346634,17.32355499267578,-47.05460498809814,53.89488040924068,77.93441772460938,0.0
9,0.10295064002275467,15.019256591796875,-37.07005847930908,46.67995872497558,71.54100799560547,0.0
10,0.09393052756786346,15.347478866577148,-42.53352970123291,49.696328468322726,71.78256225585938,0.0
11,0.14830949902534485,20.974897384643555,-67.18209907531738,66.03815780639641,76.81355285644531,0.0
12,-0.04329461231827736,20.80303955078125,-59.67643516540527,64.15683860778806,76.04911804199219,0.0
13,0.032634295523166656,18.5458984375,-40.612366828918454,46.427864036559974,69.13648986816406,0.0
14,0.1312531977891922,13.63007640838623,-34.58355419158936,38.726162261962884,64.85528564453125,0.0
15,0.13651734590530396,13.492690086364746,-37.5965620803833,40.697190132141095,62.723846435546875,0.0
16,0.13702797889709473,15.956379890441895,-48.679208145141594,47.64090435028074,69.37513732910156,0.0
17,-0.007644828408956528,15.156342506408691,-44.196525421142574,43.603154258728004,61.632537841796875,0.0
18,0.0642475038766861,14.095756530761719,-36.828541679382326,40.93145629882807,62.98921203613281,0.0
19,0.15480922162532806,12.885287284851074,-32.40581401824951,34.875403366088804,60.81795120239258,0.0
20,0.15240073204040527,12.883402824401855,-34.630613021850586,36.72763931274412,58.77153778076172,0.0
21,0.10672412812709808,12.68408489227295,-36.87348178863525,36.04694763183585,56.366233825683594,0.0
22,0.03515826165676117,15.474587440490723,-46.08452598571777,42.16055114746089,61.94697189331055,0.0
23,0.06112637370824814,13.358028411865234,-34.823202781677246,36.47588970184321,60.55392074584961,0.0
24,0.11687781661748886,12.68138599395752,-32.01720561981201,33.64735160827634,60.40216827392578,0.0
25,0.11675234138965607,12.150373458862305,-32.05893341064453,32.94589679718016,56.633262634277344,0.0
26,0.0043427771888673306,12.715975761413574,-34.80568710327148,35.043320693969704,58.03879928588867,0.0
27,-0.019308507442474365,15.733816146850586,-44.005073356628415,41.45205760955809,74.8968276977539,0.0
28,-0.01561401505023241,16.212711334228516,-44.6734814453125,42.90572063446043,78.90338897705078,0.0
29,0.01402810774743557,15.062723159790039,-40.73706161499023,39.666641693115224,74.50343322753906,0.0
